vmaf,rebuffering_duration,switch,score
1392.0233857230503,0,-150.91490529674684,83.52252506994215
1309.4452530582246,-8,-139.0004466826851,53.31379533906964
1362.387341664526,0,-157.59256665139986,61.55254381514133
1253.9105582542131,-164,-158.66164412641822,40.95568363600488
1457.2477374106497,0,-130.81540256335302,76.65689766953483
1433.052433449417,0,-170.050555609438,76.65689766953483
1091.42281583376,0,-107.62501266032963,68.41817121554865
1104.1349856287334,-53,-157.7779392357624,72.53753444254174
864.1314308736047,-165,-128.3246126144034,18.985724403289574
1202.5109466904246,0,-96.234991381638,69.79129229121301
928.2021490833617,0,-150.68105037119557,61.55254381514133
728.2131350262933,-3,-140.0319021797505,34.09007825768306
920.7111551080027,-26,-166.4860567186746,68.41817121554865
600.1779395231528,-169,-148.17234429367193,27.224450857275745
1146.206224623711,0,-183.88583650494502,86.26876722127088
630.4757217275088,-23,-222.70999804722283,29.970715030689977
283.5403546065885,-108,-116.58391578030263,-5.730499002839963
884.475252228397,0,-223.64079682538272,79.40316184294906
881.8842855742489,0,-198.44110839346456,65.67190704213442
894.2627027808613,0,-195.86429816469393,62.92566489080569
750.132988517536,0,-179.9441442910522,40.95568363600488
932.7945856099382,-46,-231.03739118785592,56.06005951248388
1084.177147678847,0,-175.52295875944458,79.40316184294906
1090.0487462769906,0,-175.5664158430051,69.79129229121301
996.3705161561894,0,-235.91240749898628,47.8213110364122
830.469510745799,-13,-228.95538471576268,14.866339154210976
1096.3645609748091,-46,-241.66048938563486,35.463199333347426
740.3229079385919,-164,-199.31690498604115,5.254491624560437
1319.6497973294217,0,-187.23162234755924,65.67190704213442
1314.7403834935378,0,-187.4066343428493,43.70194780941911
1175.150968574911,0,-191.4537836625872,84.8956461456065
1039.9456302231488,-5,-227.33563440987822,49.19443211207656
1178.8487915479584,-16,-205.06681182907658,65.67190704213442
872.9472602565608,-119,-175.3826269559962,17.61260332762521
1305.9648592160374,0,-162.82001401369018,83.52252506994215
